contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250214C00100000,2025-02-10 20:09:08+00:00,100.0,127.9,0.0,0.0,0.0,0.0,5.0,3,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00130000,2025-02-07 16:53:37+00:00,130.0,98.87,0.0,0.0,0.0,0.0,15.0,15,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00140000,2025-02-07 17:34:59+00:00,140.0,88.52,0.0,0.0,0.0,0.0,36.0,0,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00145000,2025-02-07 17:54:27+00:00,145.0,83.43,0.0,0.0,0.0,0.0,5.0,4,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00150000,2025-02-07 18:00:39+00:00,150.0,78.85,0.0,0.0,0.0,0.0,72.0,6,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00155000,2025-02-07 17:14:21+00:00,155.0,74.15,0.0,0.0,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00160000,2025-02-07 17:14:42+00:00,160.0,69.29,0.0,0.0,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00165000,2025-02-03 17:10:19+00:00,165.0,61.21,0.0,0.0,0.0,0.0,4.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00170000,2025-02-07 15:17:28+00:00,170.0,60.27,0.0,0.0,0.0,0.0,4.0,170,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00175000,2025-02-07 18:19:29+00:00,175.0,54.27,0.0,0.0,0.0,0.0,4.0,20,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00180000,2025-02-07 20:23:42+00:00,180.0,48.4,0.0,0.0,0.0,0.0,11.0,21,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00185000,2025-02-07 20:13:01+00:00,185.0,43.55,0.0,0.0,0.0,0.0,3.0,9,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00190000,2025-02-10 17:50:23+00:00,190.0,38.7,0.0,0.0,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00195000,2025-02-07 20:39:41+00:00,195.0,32.95,0.0,0.0,0.0,0.0,14.0,95,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00200000,2025-02-10 20:43:39+00:00,200.0,27.95,0.0,0.0,0.0,0.0,44.0,274,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00202500,2025-02-10 17:09:17+00:00,202.5,26.4,0.0,0.0,0.0,0.0,3.0,64,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00205000,2025-02-10 17:38:36+00:00,205.0,23.81,0.0,0.0,0.0,0.0,9.0,379,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00207500,2025-02-10 17:41:22+00:00,207.5,21.57,0.0,0.0,0.0,0.0,4.0,133,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00210000,2025-02-10 19:50:48+00:00,210.0,18.32,0.0,0.0,0.0,0.0,169.0,490,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00212500,2025-02-10 20:36:05+00:00,212.5,15.15,0.0,0.0,0.0,0.0,161.0,238,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00215000,2025-02-10 20:54:50+00:00,215.0,13.05,0.0,0.0,0.0,0.0,115.0,1576,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00217500,2025-02-10 20:53:09+00:00,217.5,10.33,0.0,0.0,0.0,0.0,105.0,265,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
AAPL250214C00220000,2025-02-10 20:58:45+00:00,220.0,8.4,0.0,0.0,0.0,0.0,8817.0,3723,1.0000000000000003e-05,True,REGULAR,USD,2025-02-14
