contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250221P00100000,2025-02-07 15:46:55+00:00,100.0,0.01,0.0,0.01,0.0,0.0,500.0,6507.0,2.3125042187499996,False,REGULAR,USD,2025-02-21
AAPL250221P00105000,2025-01-31 20:34:24+00:00,105.0,0.01,0.0,0.01,0.0,0.0,220.0,2183.0,2.1875045312499997,False,REGULAR,USD,2025-02-21
AAPL250221P00110000,2025-01-31 20:34:24+00:00,110.0,0.01,0.0,0.01,0.0,0.0,186.0,1078.0,2.0625048437499998,False,REGULAR,USD,2025-02-21
AAPL250221P00115000,2025-02-06 20:34:57+00:00,115.0,0.01,0.0,0.01,0.0,0.0,7.0,1713.0,1.9375003125,False,REGULAR,USD,2025-02-21
AAPL250221P00120000,2025-02-10 14:30:09+00:00,120.0,0.01,0.0,0.01,0.0,0.0,1.0,3546.0,1.875000625,False,REGULAR,USD,2025-02-21
AAPL250221P00125000,2025-02-14 17:31:10+00:00,125.0,0.01,0.0,0.01,0.0,0.0,145.0,2578.0,1.75000125,False,REGULAR,USD,2025-02-21
AAPL250221P00130000,2025-02-07 20:13:25+00:00,130.0,0.01,0.0,0.01,0.0,0.0,10.0,2431.0,1.65625171875,False,REGULAR,USD,2025-02-21
AAPL250221P00135000,2025-02-14 19:43:27+00:00,135.0,0.01,0.0,0.01,0.0,0.0,6.0,1141.0,1.5625021874999998,False,REGULAR,USD,2025-02-21
AAPL250221P00140000,2025-02-14 15:02:56+00:00,140.0,0.01,0.0,0.01,0.0,0.0,2.0,1057.0,1.46875265625,False,REGULAR,USD,2025-02-21
AAPL250221P00145000,2025-02-12 16:35:07+00:00,145.0,0.01,0.0,0.01,0.0,0.0,5.0,1048.0,1.3750031249999999,False,REGULAR,USD,2025-02-21
AAPL250221P00150000,2025-02-11 16:56:13+00:00,150.0,0.01,0.0,0.01,0.0,0.0,104.0,1246.0,1.3125034374999998,False,REGULAR,USD,2025-02-21
