contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
AAPL250214P00100000,2025-02-07 15:46:34+00:00,100.0,0.01,0.0,0.0,0.0,0.0,500,544,0.500005,False,REGULAR,USD,Put
AAPL250214P00110000,2025-02-07 18:16:02+00:00,110.0,0.01,0.0,0.0,0.0,0.0,1,9,0.500005,False,REGULAR,USD,Put
AAPL250214P00120000,2025-02-07 16:30:21+00:00,120.0,0.01,0.0,0.0,0.0,0.0,34,168,0.500005,False,REGULAR,USD,Put
AAPL250214P00130000,2025-02-07 16:00:28+00:00,130.0,0.02,0.0,0.0,0.0,0.0,2,1606,0.500005,False,REGULAR,USD,Put
AAPL250214P00140000,2025-02-07 19:50:51+00:00,140.0,0.01,0.0,0.0,0.0,0.0,1,1053,0.500005,False,REGULAR,USD,Put
AAPL250214P00145000,2025-02-05 18:02:05+00:00,145.0,0.01,0.0,0.0,0.0,0.0,6,78,0.500005,False,REGULAR,USD,Put
AAPL250214P00150000,2025-02-07 19:50:45+00:00,150.0,0.01,0.0,0.0,0.0,0.0,1,261,0.500005,False,REGULAR,USD,Put
AAPL250214P00155000,2025-02-07 18:22:06+00:00,155.0,0.01,0.0,0.0,0.0,0.0,50,398,0.500005,False,REGULAR,USD,Put
AAPL250214P00160000,2025-02-07 20:52:43+00:00,160.0,0.01,0.0,0.0,0.0,0.0,19,715,0.500005,False,REGULAR,USD,Put
AAPL250214P00165000,2025-02-10 14:30:02+00:00,165.0,0.01,0.0,0.0,0.0,0.0,6,822,0.500005,False,REGULAR,USD,Put
AAPL250214P00170000,2025-02-10 14:42:09+00:00,170.0,0.01,0.0,0.0,0.0,0.0,1,1793,0.500005,False,REGULAR,USD,Put
AAPL250214P00175000,2025-02-10 20:47:01+00:00,175.0,0.01,0.0,0.0,0.0,0.0,723,2673,0.500005,False,REGULAR,USD,Put
AAPL250214P00180000,2025-02-10 20:59:32+00:00,180.0,0.01,0.0,0.0,0.0,0.0,196,1402,0.500005,False,REGULAR,USD,Put
AAPL250214P00185000,2025-02-10 20:48:48+00:00,185.0,0.02,0.0,0.0,0.0,0.0,393,1440,0.500005,False,REGULAR,USD,Put
AAPL250214P00190000,2025-02-10 18:37:53+00:00,190.0,0.01,0.0,0.0,0.0,0.0,606,2274,0.500005,False,REGULAR,USD,Put
AAPL250214P00195000,2025-02-10 20:35:47+00:00,195.0,0.03,0.0,0.0,0.0,0.0,942,7761,0.2500075,False,REGULAR,USD,Put
AAPL250214P00200000,2025-02-10 20:59:18+00:00,200.0,0.03,0.0,0.0,0.0,0.0,2286,8931,0.2500075,False,REGULAR,USD,Put
AAPL250214P00202500,2025-02-10 20:58:20+00:00,202.5,0.04,0.0,0.0,0.0,0.0,183,909,0.2500075,False,REGULAR,USD,Put
